shopify_product_id,handle,title,current_pos1_classification,current_pos1_has_text_overlay,best_lifestyle_position,best_lifestyle_url,best_lifestyle_has_text_overlay,confidence,action
9372965666921,abri-jardin-acier-galvanise-double-porte,Abri de jardin en acier galvanisé avec double porte,white_background,false,4,https://cdn.shopify.com/s/files/1/0678/1327/7801/files/j3F39a1981ce125c7.jpg?v=1782386470,true,0.85,SWAP
9376662454377,abri-rangement-portable-fermeture-eclair,Abri de rangement portable à fermeture éclair,white_background,false,3,https://cdn.shopify.com/s/files/1/0678/1327/7801/files/g8Ma091954156f520.jpg?v=1782867677,true,0.92,SWAP
9359738732649,agenouilloir-jardin-pliable-mousse-eva,Agenouilloir de jardin pliable avec coussin mousse EVA,white_background,false,,,,,NO_LIFESTYLE
9367403364457,aire-de-jeu-sable-eau-bois-18-accessoires,Aire de jeu sable et eau en bois 18 accessoires,lifestyle_with_people,false,,,,,NO_LIFESTYLE
7736555765865,chemin-de-jardin-en-bois-120cm-passerelle-exterieure-deroulante,Allée de jardin bois déroulable 120 cm,white_background,false,3,https://cdn.shopify.com/s/files/1/0678/1327/7801/files/y3l8d0194837215ad_80935b46-f2e0-4048-b175-3478e60a77ab.jpg?v=1775910096,true,0.95,SWAP
7752241709161,arbre-a-chat-geant-168cm-avec-condos-hamacs-et-perchoir,Arbre à chat multi-niveaux 168 cm avec condos et hamacs,white_background,false,4,https://cdn.shopify.com/s/files/1/0678/1327/7801/files/fr441719b74b8cef6.jpg?v=1776173576,true,0.95,SWAP
7751760150633,arbre-a-chat-177cm-multi-niveaux-avec-2-condos-et-hamac,Arbre à chat multi-niveaux 177 cm avec condos et hamac,white_background,false,4,https://cdn.shopify.com/s/files/1/0678/1327/7801/files/XAg23a19d86f09bc3.jpg?v=1776134709,true,0.82,SWAP
7752240595049,grand-arbre-a-chat-192-cm-8-griffoirs-3-lits-2-hamacs,Arbre à chat multi-niveaux 192 cm avec 8 griffoirs,white_background,false,,,,,NO_LIFESTYLE
7751736819817,tour-a-chat-multi-niveaux-ajustable-240-260cm-avec-condos,Arbre à chat multi-niveaux ajustable 240-260 cm,white_background,false,,,,,NO_LIFESTYLE
9365035516009,arbre-chat-multi-niveaux-condo-hamac-119cm,Arbre à chat multi-niveaux avec condo et hamac 119 cm,white_background,false,3,https://cdn.shopify.com/s/files/1/0678/1327/7801/files/qcw4bd19b74322eee.jpg?v=1781378457,true,0.95,SWAP
7752199340137,arbre-a-chat-geant-200cm-centre-dactivites-multi-niveaux,Arbre à chat multiniveau 79 pouces avec griffoirs,white_background,false,,,,,NO_LIFESTYLE
